id;idDescriptor;idGroup;code;title;imageURL;description;idLoadDiagram
;;Идентификатор товарной группы;Номер товарной подгруппы;Название товарной подгруппы;Ссылка на картинку аватарку товарной подгруппы;Описание товарной подгруппы;Идентификатор картинки со схемой нагрузки
105;;16;1305;Стяжки СЭ;./webfiles/1305.png;Описание товарной группы Стяжки СЭ;
106;;17;1455;Защитное покрытие СЭ-ПЭ;./webfiles/1455.png;Описание товарной группы Защитное покрытие СЭ-ПЭ;
107;;17;1456;Защитное покрытие СЭ-ПП;./webfiles/1456.png;Описание товарной группы Защитное покрытие СЭ-ПП;
108;;17;1457;Защитное покрытие СЭ-ПВХ;./webfiles/1457.png;Описание товарной группы Защитное покрытие СЭ-ПВХ;
109;;17;1458;Защитное покрытие СЭ-ПВ;./webfiles/1458.png;Описание товарной группы Защитное покрытие СЭ-ПВ;
110;;17;1459;Защитное покрытие СЭ-ПВП;./webfiles/1459.png;Описание товарной группы Защитное покрытие СЭ-ПВП;
111;;17;1568;Фиксатор кабельного крепления СЭ;./webfiles/1568.png;Описание товарной группы Фиксатор кабельного крепления СЭ;
112;;18;1308;Профили ST-AL 41/41;./webfiles/1308.png;Описание товарной группы Профили ST-AL 41/41;
113;;18;1309;Профили ST-AL 45/65;./webfiles/1309.png;Описание товарной группы Профили ST-AL 45/65;
114;;18;1310;Профили ST-AL 45/85;./webfiles/1310.png;Описание товарной группы Профили ST-AL 45/85;
115;;19;1312;Консоли ST-AL 41/41;./webfiles/1312.png;Описание товарной группы Консоли ST-AL 41/41;
116;;19;1313;Консоли ST-AL 45/65;./webfiles/1313.png;Описание товарной группы Консоли ST-AL 45/65;
117;;19;1314;Консоли ST-AL 45/85;./webfiles/1314.png;Описание товарной группы Консоли ST-AL 45/85;
118;;19;1315;Консоли ST-AL-W 41/41;./webfiles/1315.png;Описание товарной группы Консоли ST-AL-W 41/41;
119;;19;1316;Консоли ST-AL-W 45/65;./webfiles/1316.png;Описание товарной группы Консоли ST-AL-W 45/65;
120;;19;1317;Консоли ST-AL-W 45/85;./webfiles/1317.png;Описание товарной группы Консоли ST-AL-W 45/85;
121;;19;1318;Консоли  ST-AL-WH 45/65;./webfiles/1318.png;Описание товарной группы Консоли  ST-AL-WH 45/65;
122;;19;1319;Консоли  ST-AL-WH 45/85;./webfiles/1319.png;Описание товарной группы Консоли  ST-AL-WH 45/85;
123;;20;1321;Соединители CH-AL;./webfiles/1321.png;Описание товарной группы Соединители CH-AL;
124;;20;1322;Опоры STA;./webfiles/1322.png;Описание товарной группы Опоры STA;
125;;21;1324;ЛОТОК СЕРИИ SL-AL;./webfiles/1324.png;Описание товарной группы ЛОТОК СЕРИИ SL-AL;
